case_no,casetype,casesubtype,site_addr
CE1603-0113,PARKING,SINGLE FAMILY,1405  FOX HOLLOW
CE1603-0114,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2225 W UNIVERSITY DR
CE1603-0115,TRASHDEBRIS,COMMERCIAL,1115 DUNCAN ST
CE1603-0116,TRASHDEBRIS,RESIDENTIAL,3837 WATERFORD WAY
CE1603-0117,GRAFFITI,COMMERCIAL,Mingo and Mockingbird
CE1603-0118,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 S MAYHILL RD
CE1603-0119,GRAFFITI,CITY PROPERTY,1555 NOTTINGHAM (DRAINAGE EASE
CE1603-0120,WORK WO PERMIT,ACCESSORY STRUCTURE W/O PERMIT,1900 BERNARD ST
CE1603-0121,PARKING,SINGLE FAMILY,1214 EGAN ST
CE1603-0122,SIGNS,SIGN - WALL,231 UNIVERSITY DR
CE1603-0123,MINIMUM BUILDING STA,RESIDENTIAL,3939 TEASLEY LN
CE1603-0124,TRASHDEBRIS,RESIDENTIAL,1212 OLMOS CREEK PL
CE1603-0125,PARKING,SINGLE FAMILY,1509 SAN GABRIEL DR
CE1603-0126,ORDINANCE OTHER DEPT,CITY PROPERTY,SANDY CREEK/ANGELINA BEND
CE1603-0127,PARKING,SINGLE FAMILY,1600 ANGELINA BEND DR
CE1603-0128,TRASHDEBRIS,RESIDENTIAL,1600 ANGELINA BEND DR
CE1603-0129,INOPERABLE VEHICLE,VEHICLE,1206 PIPING ROCK ST
CE1603-0130,OUTSIDE STORAGE,RESIDENTIAL,1206 PIPING ROCK ST
CE1603-0131,FENCES,RESIDENTIAL,1111 SANTA FE ST
CE1603-0132,OUTSIDE STORAGE,RESIDENTIAL,1202 HOPKINS
CE1603-0133,TRASHDEBRIS,RESIDENTIAL,1202 HOPKINS
CE1603-0134,PARKING,COMMERCIAL,1133 FORT WORTH DR
CE1603-0135,ZONING,VEHICLE SALES NO CO,1133 FORT WORTH DR
CE1603-0136,TRASHRECYCLE BINS,CURB WRONG TIME,1419 AMHERST DR
CE1603-0137,MONITORING,,1203 HOPKINS
CE1603-0138,TRASHDEBRIS,RESIDENTIAL,1304 DEER TRL
CE1603-0139,INOPERABLE VEHICLE,VEHICLE,1400 DEER TRL
CE1603-0140,PARKING,RESIDENTIAL,1400 DEER TRL
CE1603-0141,INOPERABLE VEHICLE,MOTOR VEHICLE,1401 TIMBERIDGE ST
CE1603-0142,OUTSIDE STORAGE,RESIDENTIAL,1401 TIMBERIDGE ST
CE1603-0143,OUTSIDE STORAGE,RESIDENTIAL,1401 TIMBERIDGE ST
CE1603-0144,TRASHDEBRIS,RESIDENTIAL,1544 VALLEY CREEK RD
CE1603-0145,TRASHDEBRIS,RESIDENTIAL,1540 VALLEY CREEK RD
CE1603-0146,INOPERABLE VEHICLE,MOTOR VEHICLE,1929 CANYON CT
CE1603-0147,OUTSIDE STORAGE,RESIDENTIAL,1929 CANYON CT
CE1603-0148,TRASHDEBRIS,RESIDENTIAL,1929 CANYON CT
CE1603-0149,PARKING,SINGLE FAMILY,1524 VALLEY CREEK RD
CE1603-0150,ORDINANCE OTHER DEPT,CITY PROPERTY,1222 hilcrest st
CE1603-0151,TRASHDEBRIS,RESIDENTIAL,1213 HILLCREST
CE1603-0152,GRAFFITI,COMMERCIAL,3057 OLYMPIA DR
CE1603-0153,GRAFFITI,COMMERCIAL,3049 OLYMPIA DR
CE1603-0154,GRAFFITI,COMMERCIAL,3073 OLYMPIA DR
CE1603-0155,ILLEGAL DUMPING,CITY PROPERTY,200 N TRINITY RD
CE1603-0156,TRASHDEBRIS,RESIDENTIAL,492 THOMAS J EGAN RD
CE1603-0157,ILLEGAL DUMPING,RESIDENTIAL,BLAGG RD
CE1603-0158,ORDINANCE OTHER DEPT,RESIDENTIAL,4120  CADENA RD
CE1603-0159,TRASHDEBRIS,RESIDENTIAL,321 N RUDDELL ST
CE1603-0160,GRASSWEEDS,RESIDENTIAL,321 N RUDDELL ST
CE1603-0161,GRASSWEEDS,RESIDENTIAL,716 ROSE ST
CE1603-0162,OUTSIDE STORAGE,RESIDENTIAL,716 ROSE ST
CE1603-0163,ILLEGAL DUMPING,CITY PROPERTY,2900  KINGS ROW
CE1603-0164,INOPERABLE VEHICLE,MOTOR VEHICLE,604 BOARDWALK LN
CE1603-0165,TRASHDEBRIS,RESIDENTIAL,1012 LAGUNA DR
CE1603-0166,GRASSWEEDS,RESIDENTIAL,1012 LAGUNA DR
CE1603-0167,ILLEGAL DUMPING,CITY PROPERTY,WOODROW
CE1603-0168,ORDINANCE OTHER DEPT,RESIDENTIAL,900 LONDONDERRY LN
CE1603-0169,CERTIFICATE OF OCCUP,NEW BUSINESS,803 S LOCUST ST
CE1603-0170,WORK WO PERMIT,FENCE W/O PERMIT,923 W OAK ST
CE1603-0171,ILLEGAL DUMPING,CITY PROPERTY,Country Club RD
CE1603-0172,TRASHDEBRIS,RESIDENTIAL,2034 HOUSTON PL
CE1603-0173,TRASHDEBRIS,RESIDENTIAL,315 MARIETTA ST
CE1603-0174,GRASSWEEDS,RESIDENTIAL,315 MARIETTA ST
CE1603-0175,PARKING,SINGLE FAMILY,307 JAGOE ST
CE1603-0176,TRASHDEBRIS,RESIDENTIAL,307 PONDER ST
CE1603-0177,PARKING,BLOCKING SIDEWALK,307 PONDER ST
CE1603-0178,ORDINANCE OTHER DEPT,CITY PROPERTY,Oak street at Bryan IFO 1410 O
CE1603-0179,INOPERABLE VEHICLE,MOTOR VEHICLE,803 S LOCUST ST
CE1603-0180,INOPERABLE VEHICLE,MOTOR VEHICLE,1715 FORT WORTH DR
CE1603-0181,INOPERABLE VEHICLE,MOTOR VEHICLE,1133 FORT WORTH DR
CE1603-0182,SIGNS,SIGN - WALL,1135 FORT WORTH DR
CE1603-0183,PARKING,COMMERCIAL,1135 FORT WORTH DR
CE1603-0184,MBS INTERIOR,"WALLS, DOORS, WINDOWS AND FLOORS",1210 STRATFORD LN
CE1603-0185,ORDINANCE OTHER DEPT,CITY PROPERTY,604 BOARDWALK LN
CE1603-0186,WORK WO PERMIT,FENCE W/O PERMIT,1012 LAGUNA DR
CE1603-0187,TRASHDEBRIS,RESIDENTIAL,1525 BAYBERRY ST
CE1603-0188,TRASHDEBRIS,COMMERCIAL,DAUGHERTY/ S LOCUST
CE1603-0189,GRASSWEEDS,RESIDENTIAL,1702 WESTWOOD DR
CE1603-0190,CERTIFICATE OF OCCUP,NEW BUSINESS,324 E MCKINNEY ST 100
CE1603-0191,TRASHDEBRIS,RESIDENTIAL,2107 JASMINE ST
CE1603-0192,OUTSIDE STORAGE,RESIDENTIAL,2107 JASMINE ST
CE1603-0193,GRASSWEEDS,RESIDENTIAL,2102 CAMELLIA ST
CE1603-0194,TRASHRECYCLE BINS,LOCATION,716 ROSE ST
CE1603-0195,TRASHDEBRIS,RESIDENTIAL,916 BEECHWOOD DR
CE1603-0196,GRASSWEEDS,RESIDENTIAL,2002 CAMELLIA ST
CE1603-0197,FENCES,RESIDENTIAL,2002 CAMELLIA ST
CE1603-0198,OUTSIDE STORAGE,RESIDENTIAL,2002 CAMELLIA ST
CE1603-0199,OUTSIDE STORAGE,RESIDENTIAL,1610 POINSETTIA BLVD
CE1603-0200,TRASHDEBRIS,RESIDENTIAL,1610 POINSETTIA BLVD
CE1603-0201,FENCES,RESIDENTIAL,1610 POINSETTIA BLVD
CE1603-0202,MINIMUM BUILDING STA,UNSECURED AND VACANT,608 S TRINITY RD
CE1603-0203,MINIMUM BUILDING STA,PROTECTIVE TREATMENT,608 S TRINITY RD
CE1603-0204,MINIMUM BUILDING STA,PROTECTIVE TREATMENT,608 S TRINITY RD
CE1603-0205,INOPERABLE VEHICLE,MOTOR VEHICLE,2534 FREEDOM LN
CE1603-0206,GRASSWEEDS,RESIDENTIAL,2004 CAMELLIA ST
CE1603-0207,GRASSWEEDS,RESIDENTIAL,2104 CAMELLIA ST
CE1603-0208,TRASHDEBRIS,RESIDENTIAL,2105 CAMELLIA ST
CE1603-0209,TRASHDEBRIS,VACANT LOT,1831 CROW ST
CE1603-0210,TRASHDEBRIS,RESIDENTIAL,1207 KERLEY ST
CE1603-0211,TRASHDEBRIS,RESIDENTIAL,1207 KERLEY ST
CE1603-0212,MBS INTERIOR,"WALLS, DOORS, WINDOWS AND FLOORS",2422 CHARLOTTE ST
CE1603-0213,INOPERABLE VEHICLE,MOTOR VEHICLE,913 DUNCAN ST
CE1603-0214,PARKING,SINGLE FAMILY,821 DUNCAN ST
CE1603-0215,OUTSIDE STORAGE,RESIDENTIAL,606 CONGRESS ST
CE1603-0216,TRASHDEBRIS,RESIDENTIAL,606 CONGRESS ST
CE1603-0217,PARKING,SINGLE FAMILY,917 PANHANDLE ST
CE1603-0218,PARKING,SINGLE FAMILY,1416 PANHANDLE ST
CE1603-0219,OUTSIDE STORAGE,RESIDENTIAL,2105 CAMELLIA ST
CE1603-0220,GRASSWEEDS,RESIDENTIAL,2105 CAMELLIA ST
CE1603-0221,OUTSIDE STORAGE,RESIDENTIAL,925 HILLCREST ST
CE1603-0222,INOPERABLE VEHICLE,RESIDENTIAL,910 HILLCREST ST
CE1603-0223,OUTSIDE STORAGE,RESIDENTIAL,910 HILLCREST ST
CE1603-0224,TRASHRECYCLE BINS,LOCATION,1525 BAYBERRY ST
CE1603-0225,PARKING,SINGLE FAMILY,1525 BAYBERRY ST
CE1603-0226,PARKING,SINGLE FAMILY,1525 BAYBERRY ST
CE1603-0227,ILLEGAL DUMPING,CITY PROPERTY,1400 s locust st
CE1603-0228,CERTIFICATE OF OCCUP,NEW BUSINESS,4216 N I-35
CE1603-0229,ORDINANCE OTHER DEPT,RESIDENTIAL,4103 SWISHER RD
CE1603-0230,CERTIFICATE OF OCCUP,NEW BUSINESS,1618-1640 W UNIVERSITY DR
CE1603-0231,TRASHDEBRIS,RESIDENTIAL,213 E DAUGHERTY ST
CE1603-0232,GRAFFITI,CITY PROPERTY,corner oak and Jagoe
CE1603-0233,MBS INTERIOR,"WALLS, DOORS, WINDOWS AND FLOORS",1700 E VILLAGE EAST DR
CE1603-0234,MBS INTERIOR,EXTERMINATION,1700 E VILLAGE EAST DR
CE1603-0235,MBS INTERIOR,PLUMBING SYSTEMS & FIXTURES,1700 E VILLAGE EAST DR
CE1603-0236,MBS INTERIOR,"WALLS, DOORS, WINDOWS AND FLOORS",1700 E VILLAGE EAST DR
CE1603-0237,MBS INTERIOR,EXTERMINATION,1700 E VILLAGE EAST DR
CE1603-0238,MBS INTERIOR,PLUMBING SYSTEMS & FIXTURES,1700 E VILLAGE EAST DR
CE1603-0239,GRASSWEEDS,RESIDENTIAL,1010 COLLINS ST
CE1603-0240,GRASSWEEDS,RESIDENTIAL,1110 OAKWOOD DR
CE1603-0241,TRASHDEBRIS,RESIDENTIAL,1030 PEAK ST
CE1603-0242,TRASHRECYCLE BINS,LOCATION,1110 OAKWOOD DR
CE1603-0243,GRASSWEEDS,RESIDENTIAL,1121 BERNARD ST
CE1603-0244,GRASSWEEDS,RESIDENTIAL,1111 OAKWOOD DR
CE1603-0245,OUTSIDE STORAGE,RESIDENTIAL,1111 OAKWOOD DR
CE1603-0246,TRASHRECYCLE BINS,LOCATION,1111 OAKWOOD DR
CE1603-0247,TRASHDEBRIS,RESIDENTIAL,1111 OAKWOOD DR
CE1603-0248,TRASHDEBRIS,RESIDENTIAL,1219 AVE A
CE1603-0249,GRASSWEEDS,RESIDENTIAL,920 MCCORMICK ST
CE1603-0250,ZONING,COMMERCIAL,2313 COLORADO BLVD
CE1603-0251,WORK WO PERMIT,FENCE W/O PERMIT,2513 CRAIG LN
CE1603-0252,GRASSWEEDS,RESIDENTIAL,2006 JASMINE ST
CE1603-0253,TRASHDEBRIS,RESIDENTIAL,2006 JASMINE ST
CE1603-0254,TRASHRECYCLE BINS,CURB WRONG TIME,2107 JASMINE ST
CE1603-0255,WORK WO PERMIT,OTHER WORK W/O PERMIT,501 LONDONDERRY LN
CE1603-0256,WORK WO PERMIT,OTHER WORK W/O PERMIT,501 LONDONDERRY LN
CE1603-0257,GRASSWEEDS,RESIDENTIAL,1114 OAKWOOD DR
CE1603-0258,TRASHRECYCLE BINS,LOCATION,1114 OAKWOOD DR
CE1603-0259,TRASHDEBRIS,RESIDENTIAL,1114 OAKWOOD DR
CE1603-0260,ZONING,SIGNAGE,1011 CHESTNUT ST
CE1603-0261,ILLEGAL DUMPING,COMMERCIAL,715  DALLAS DR
CE1603-0262,WORK WO PERMIT,IRRIGATION W/O PERMIT,923 W OAK ST
CE1603-0263,TRASHRECYCLE BINS,LOCATION,2104 JASMINE ST
CE1603-0264,TRASHDEBRIS,RESIDENTIAL,2104 JASMINE ST
CE1603-0265,TRASHRECYCLE BINS,LOCATION,2006 JASMINE ST
CE1603-0266,MBS INTERIOR,FIRE PROTECTION SYSTEM,2422 CHARLOTTE ST
CE1603-0267,FENCES,COMMERCIAL,305 W PRAIRIE ST
CE1603-0268,OUTSIDE STORAGE,COMMERCIAL,305 W PRAIRIE ST
CE1603-0269,PARKING,BLOCKING SIDEWALK,321 WAINWRIGHT ST
CE1603-0270,PARKING,BLOCKING SIDEWALK,409 WAINWRIGHT ST
CE1603-0271,PARKING,SINGLE FAMILY,409 WAINWRIGHT ST
CE1603-0272,TRASHDEBRIS,RESIDENTIAL,409 WAINWRIGHT ST
CE1603-0273,OUTSIDE STORAGE,RESIDENTIAL,409 WAINWRIGHT ST
CE1603-0274,OUTSIDE STORAGE,RESIDENTIAL,519 WAINWRIGHT ST
CE1603-0275,OUTSIDE STORAGE,RESIDENTIAL,523 WAINWRIGHT ST
CE1603-0276,CERTIFICATE OF OCCUP,NEW BUSINESS,803 E MCKINNEY ST
CE1603-0277,TRASHDEBRIS,RESIDENTIAL,801 BROCK CIR
CE1603-0278,INOPERABLE VEHICLE,MOTOR VEHICLE,706-708 ROBERTS ST
CE1603-0279,MINIMUM BUILDING STA,NO ADDRESS POSTED,803 E MCKINNEY ST
CE1603-0280,PARKING,COMMERCIAL,803 E MCKINNEY ST
CE1603-0281,ZONING,SIGNAGE,803 E MCKINNEY ST
CE1603-0282,INOPERABLE VEHICLE,MOTOR VEHICLE,3909 REDSTONE RD
CE1603-0283,PARKING,BLOCKING SIDEWALK,916 BEECHWOOD DR
CE1603-0284,ZONING,POD,1609 E MCKINNEY ST
CE1603-0285,OUTSIDE STORAGE,RESIDENTIAL,2104 JASMINE ST
CE1603-0286,GRAFFITI,COMMERCIAL,1607 E MCKINNEY ST
CE1603-0287,WORK WO PERMIT,OTHER WORK W/O PERMIT,1202 HOPKINS
CE1603-0288,OUTSIDE STORAGE,RESIDENTIAL,5597 EDWARDS RD
CE1603-0289,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2321 N MASCH BRANCH RD 322
CE1603-0290,CERTIFICATE OF OCCUP,NEW BUSINESS,525 N ELM ST
CE1603-0291,GRAFFITI,CITY PROPERTY,McKinney
CE1603-0292,ZONING,CO VIOLATION,708 WOLFTRAP DR
CE1603-0293,TRASHDEBRIS,RESIDENTIAL,1301 KENDOLPH DR
CE1603-0294,PARKING,SINGLE FAMILY,1712 MCCORMICK ST
CE1603-0295,PARKING,BLOCKING SIDEWALK,2409 WESTWOOD DR
CE1603-0296,PARKING,BLOCKING SIDEWALK,2302 MERCEDES RD
CE1603-0297,MINIMUM BUILDING STA,NO ADDRESS POSTED,2302 MERCEDES RD
CE1603-0298,OUTSIDE STORAGE,RESIDENTIAL,925 SPRINGCREEK DR
CE1603-0299,PARKING,BLOCKING SIDEWALK,940 SPRINGCREEK DR
CE1603-0300,TRASHDEBRIS,RESIDENTIAL,2104 HOUSTON PL
CE1603-0301,OUTSIDE STORAGE,RESIDENTIAL,2104 HOUSTON PL
CE1603-0302,TRASHDEBRIS,RESIDENTIAL,1919 HOUSTON PL
CE1603-0303,OUTSIDE STORAGE,RESIDENTIAL,1919 HOUSTON PL
CE1603-0304,TRASHDEBRIS,RESIDENTIAL,324 FULTON ST
CE1603-0305,TRASHDEBRIS,RESIDENTIAL,901 GREGG ST
CE1603-0306,TRASHDEBRIS,RESIDENTIAL,1426 AMHERST DR
CE1603-0307,WORK WO PERMIT,OTHER WORK W/O PERMIT,409 WOODSON CIR
CE1603-0308,MBS INTERIOR,"WALLS, DOORS, WINDOWS AND FLOORS",911 BERNARD ST
CE1603-0309,GRAFFITI,COMMERCIAL,corner Pearl and Denton St
CE1603-0310,GRAFFITI,COMMERCIAL,on NTB Between Oak and Hickory
CE1603-0311,STAGNANT WATER,RESIDENTIAL,2019 N LARIAT RD
CE1603-0312,ORDINANCE OTHER DEPT,CITY PROPERTY,Northpointe and Meadowridge
CE1603-0313,ILLEGAL DUMPING,CITY PROPERTY,CORNER OF BOLIVAR & THIRD STRE
CE1603-0314,CERTIFICATE OF OCCUP,CHANGE OF OWNER,401 AME DR CLUBHOUSE
CE1603-0315,CERTIFICATE OF OCCUP,CHANGE OF OWNER,401 AME DR BLDG 1
CE1603-0316,CERTIFICATE OF OCCUP,CHANGE OF OWNER,401 AME DR BLDG 2
CE1603-0317,CERTIFICATE OF OCCUP,CHANGE OF OWNER,401 AME DR BLDG 3
CE1603-0318,CERTIFICATE OF OCCUP,CHANGE OF OWNER,401 AME DR BLDG 4
CE1603-0319,CERTIFICATE OF OCCUP,CHANGE OF OWNER,401 AME DR BLDG 5
CE1603-0320,CERTIFICATE OF OCCUP,CHANGE OF OWNER,401 AME DR BLDG 6
CE1603-0321,CERTIFICATE OF OCCUP,CHANGE OF OWNER,401 AME DR BLDG 7
CE1603-0322,CERTIFICATE OF OCCUP,CHANGE OF OWNER,401 AME DR BLDG 8
CE1603-0323,CERTIFICATE OF OCCUP,CHANGE OF OWNER,401 AME DR BLDG 9
CE1603-0324,CERTIFICATE OF OCCUP,CHANGE OF OWNER,401 AME DR BLDG 10
CE1603-0325,CERTIFICATE OF OCCUP,CHANGE OF OWNER,401 AME DR BLDG 11
CE1603-0326,CERTIFICATE OF OCCUP,CHANGE OF OWNER,401 AME DR BLDG 12
CE1603-0327,CERTIFICATE OF OCCUP,CHANGE OF OWNER,401 AME DR BLDG 13
CE1603-0328,CERTIFICATE OF OCCUP,CHANGE OF OWNER,401 AME DR BLDG 14
CE1603-0329,CERTIFICATE OF OCCUP,CHANGE OF OWNER,401 AME DR BLDG 15
CE1603-0330,CERTIFICATE OF OCCUP,CHANGE OF OWNER,401 AME DR BLDG 16
CE1603-0331,CERTIFICATE OF OCCUP,CHANGE OF OWNER,401 AME DR BLDG 17
CE1603-0332,CERTIFICATE OF OCCUP,CHANGE OF OWNER,401 AME DR BLDG 18
CE1603-0333,CERTIFICATE OF OCCUP,NEW BUSINESS,2105 SADAU CT 130
CE1603-0334,CERTIFICATE OF OCCUP,NEW BUSINESS,827 W EAGLE
CE1603-0335,CERTIFICATE OF OCCUP,NEW BUSINESS,725 S LOCUST ST
CE1603-0336,CERTIFICATE OF OCCUP,CHANGE OF OWNER,4650 JOHN CARRELL RD
CE1603-0337,INOPERABLE VEHICLE,MOTOR VEHICLE,2112 W PRAIRIE ST
CE1603-0338,TRASHDEBRIS,COMMERCIAL,2526 W PRAIRIE ST
CE1603-0339,TRASHDEBRIS,COMMERCIAL,725 S LOCUST ST
CE1603-0340,OUTSIDE STORAGE,COMMERCIAL,725 S LOCUST ST
CE1603-0341,GRASSWEEDS,CITY PROPERTY,Bell and Sherman
CE1603-0342,GRASSWEEDS,CITY PROPERTY,Scripture and Bonnie Brae
CE1603-0343,ILLEGAL DUMPING,CITY PROPERTY,Wainwright and Highland
CE1603-0344,TRASHDEBRIS,COMMERCIAL,2527 LOUISE ST
CE1603-0345,PARKING,COMMERCIAL,827 W EAGLE
CE1603-0346,MINIMUM BUILDING STA,UNSECURED AND VACANT,1702 WESTWOOD DR
CE1603-0347,TRASHDEBRIS,COMMERCIAL,2532 CHARLOTTE
CE1603-0348,FENCES,COMMERCIAL,2532 CHARLOTTE
CE1603-0349,TRASHDEBRIS,RESIDENTIAL,1316 PACO TRL
CE1603-0350,TRASHDEBRIS,COMMERCIAL,714 W HICKORY
CE1603-0351,PARKING,SINGLE FAMILY,602 BERNARD ST
CE1603-0352,STAGNANT WATER,POOL,1401 HEATHER LN
CE1603-0353,TRASHDEBRIS,RESIDENTIAL,2303 LESLIE ST
CE1603-0354,OUTSIDE STORAGE,RESIDENTIAL,2303 LESLIE ST
CE1603-0355,TRASHDEBRIS,COMMERCIAL,900 W MULBERRY ST
CE1603-0356,MINIMUM BUILDING STA,AESTHETIC FEATURES,2303 MERCEDES RD
CE1603-0357,OUTSIDE STORAGE,RESIDENTIAL,2303 MERCEDES RD
CE1603-0358,FENCES,RESIDENTIAL,1401 HEATHER LN
CE1603-0359,GRAFFITI,COMMERCIAL,108 E OAK ST
CE1603-0360,GRAFFITI,COMMERCIAL,122 N LOCUST ST
CE1603-0361,OUTSIDE STORAGE,RESIDENTIAL,1301 KENDOLPH DR
CE1603-0362,TRASHRECYCLE BINS,LOCATION,1301 KENDOLPH DR
CE1603-0363,GRAFFITI,CITY PROPERTY,corner E Oak and Austin
CE1603-0364,GRAFFITI,COMMERCIAL,201 E AUSTIN ST
CE1603-0365,GRAFFITI,CITY PROPERTY,Bike rack corner Locust/Oak
CE1603-0366,GRAFFITI,COMMERCIAL,218 N LOCUST ST
CE1603-0367,ORDINANCE OTHER DEPT,CITY PROPERTY,fulton st and congress st
CE1603-0368,GRAFFITI,CITY PROPERTY,118-120 W OAK ST
CE1603-0369,GRAFFITI,CITY PROPERTY,100 W OAK ST
CE1603-0370,GRAFFITI,CITY PROPERTY,CORNER ELM/PECAN
CE1603-0371,TRASHDEBRIS,RESIDENTIAL,706-708 ROBERTS ST
CE1603-0372,ORDINANCE OTHER DEPT,CITY PROPERTY,706-708 ROBERTS ST
CE1603-0373,GRAFFITI,CITY PROPERTY,Pockrus Page and Cliffside
CE1603-0374,TRASHDEBRIS,RESIDENTIAL,4690 MILLER RD
CE1603-0375,TRASHDEBRIS,CITY PROPERTY,Loop 288 and McKinney
CE1603-0376,NO ORDINANCE,RESIDENTIAL,2520 N ELM ST
CE1603-0377,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD POOL
CE1603-0378,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD BLDG 1
CE1603-0379,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD BLDG 2
CE1603-0380,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD BLDG 3
CE1603-0381,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD BLDG 4
CE1603-0382,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD BLDG 5
CE1603-0383,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD BLDG 6
CE1603-0384,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD BLDG 7
CE1603-0385,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD BLDG 8
CE1603-0386,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD BLDG 9
CE1603-0387,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD BLDG 10
CE1603-0388,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD BLDG 11
CE1603-0389,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD BLDG 12
CE1603-0390,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD BLDG 13
CE1603-0391,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD BLDG 14
CE1603-0392,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD BLDG 15
CE1603-0393,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD BLDG 16
CE1603-0394,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD BLDG 17
CE1603-0395,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD BLDG 18
CE1603-0396,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD BLDG 19
CE1603-0397,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD BLDG 20
CE1603-0398,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD BLDG 21
CE1603-0399,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD BLDG 22
CE1603-0400,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD BLDG 23
CE1603-0401,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD BLDG 24
CE1603-0402,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD BLDG 25
CE1603-0403,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD BLDG 26
CE1603-0404,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD BLDG 27
CE1603-0405,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD BLDG 28
CE1603-0406,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD BLDG 29
CE1603-0407,CERTIFICATE OF OCCUP,CHANGE OF OWNER,2801 SPENCER RD
CE1603-0408,GRAFFITI,CITY PROPERTY,618 W SYCAMORE ST
CE1603-0409,OUTSIDE STORAGE,RESIDENTIAL,304 PEAR TREE PL
CE1603-0410,OUTSIDE STORAGE,RESIDENTIAL,908 SIERRA DR
CE1603-0411,WORK WO PERMIT,FENCE W/O PERMIT,2009 PEMBROOKE PL
CE1603-0412,GRAFFITI,CITY PROPERTY,CORNER ELM/HICKORY
CE1603-0413,GRAFFITI,CITY PROPERTY,CORNER HICKORY/CEDAR
CE1603-0414,GRAFFITI,CITY PROPERTY,235 W HICKORY ST
CE1603-0415,GRAFFITI,CITY PROPERTY,100 W HICKORY ST
CE1603-0416,TRASHDEBRIS,RESIDENTIAL,1419 AMHERST DR
CE1603-0417,GRAFFITI,VACANT LOT,W/S ELM ST
CE1603-0418,GRAFFITI,CITY PROPERTY,CORNER WALNUT/LOCUST
CE1603-0419,GRAFFITI,COMMERCIAL,110 MULBERRY ST
CE1603-0420,TRASHDEBRIS,RESIDENTIAL,1901 NORTH LAKE TRAIL
CE1603-0421,GRAFFITI,CITY PROPERTY,CORNER ELM/WALNUT
CE1603-0422,GRAFFITI,CITY PROPERTY,109 WALNUT ST
CE1603-0423,GRAFFITI,COMMERCIAL,216 W MULBERRY ST
CE1603-0424,GRASSWEEDS,RESIDENTIAL,1426 AMHERST DR
CE1603-0425,TRASHRECYCLE BINS,CURB WRONG TIME,2312 NORTH LAKE TRAIL
CE1603-0426,ORDINANCE OTHER DEPT,RESIDENTIAL,714 LAKEY ST
CE1603-0427,ZONING,SIGNAGE,1100 TEASLEY LN 100
CE1603-0428,ZONING,SIGNAGE,1100 TEASLEY LN 106
CE1603-0429,TRASHRECYCLE BINS,CURB WRONG TIME,2221 PARKSIDE DR
CE1603-0430,ZONING,CO VIOLATION,1100 TEASLEY LN 106
CE1603-0431,PARKING,COMMERCIAL,1040 SHADY OAKS DR 100
CE1603-0432,GRAFFITI,CITY PROPERTY,McKinney and Frame
CE1603-0433,TRASHDEBRIS,RESIDENTIAL,623 SMITH ST
CE1603-0434,OUTSIDE STORAGE,RESIDENTIAL,1305 MARBLE COVE LN
CE1603-0435,TRASHDEBRIS,RESIDENTIAL,8409 SWAN PARK DR
CE1603-0436,ZONING,SIGNAGE,215 N CARROLL BLVD
CE1603-0437,TRASHDEBRIS,RESIDENTIAL,1216 RAMBLING BROOK TRL
